Код объекта,трассы,автомобильные мосты,Материал окон,Счетчик воды,гостевой паркинг,памятники архитектуры,культуры,пешеходные бульвары,Балкон,всего этажей,Серия,Стены,Адрес,Год постройки,Общая площадь,Высота потолков,Двор,Комнатность,подземный паркинг,Ремонт,цена
5742393,0,0,Пластиковые,есть,1,0,0,0,Лоджия,11,Инд,Монолитные,Центр,2016.0,52.8,3.0,закрытый двор,1,1,Современный ремонт,5100.0
5739195,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,Инд,Панельные,Древлянка,2016.0,39.0,2.5,открытый двор,2,0,Современный ремонт,3530.0
5742937,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,9,75 ,Панельные,Древлянка,1989.0,53.0,2.5,открытый двор,2,0,Современный ремонт,4400.0
5737287,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,11,Инд,Монолитные,Кукковка,2015.0,57.4,2.5,открытый двор,3,0,Ремонт по дизайн проекту,5600.0
5736033,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,4,Инд,Кирпичные,Центр,1958.0,74.0,3.0,открытый двор,3,0,Частичный ремонт,7000.0
5742987,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,5,Инд,Панельные,Древлянка,2016.0,36.0,2.5,открытый двор,1,0,Косметический ремонт,2630.0
5742361,0,0,Пластиковые,есть,0,0,0,0,Есть балкон,10,75 ,Панельные,Древлянка,1991.0,36.0,2.5,открытый двор,1,0,Косметический ремонт,2400.0
5757119,0,0,Пластиковые,есть,0,0,0,0,Лоджия,9,75 ,Панельные,Кукковка,1978.0,74.5,2.61,открытый двор,4,0,Современный ремонт,5200.0
5741851,0,0,Пластиковые,есть,0,0,0,0,Нет балкона,5,1-335,Панельные,Октябрьский,1968.0,31.0,2.5,открытый двор,1,0,Современный ремонт,2400.0
5743138,0,0,Деревянные,есть,0,0,0,0,Нет балкона,5,Инд,Панельные,Зарека,1970.0,91.8,2.7,открытый двор,5,0,Косметический ремонт,4500.0
5738630,0,0,Пластиковые,есть,1,0,0,0,Есть балкон,6,Инд,Монолитные,Кукковка,2013.0,30.7,2.5,открытый двор,1,0,Косметический ремонт,2500.0
5732290,0,0,Пластиковые,есть,0,0,0,0,Лоджия,10,75 ,Панельные,Древлянка,1989.0,36.0,2.5,открытый двор,1,0,Современный ремонт,2800.0
