Код объекта,Комнатность,Ремонт,Балкон,Материал окон,Серия,Год постройки,Стены,url,Адрес,наземный паркинг,гостевой паркинг,парковка отсутствует,подземный паркинг,гараж во дворе,парковка,Двор,Железная дверь,Счетчик воды,во двор,на детскую площадку,стены соседних домов,памятники архитектуры,культуры,пешеходные бульвары,дороги,трассы,автомобильные мосты,Высота потолков,Общая площадь,этаж,всего этажей,цена
5751111,3,Современный ремонт,Нет балкона,Пластиковые,Инд,1969.0,Блочные,https://ptz.etagi.com//realty/5751111/,Голиковка,0,0,1,0,0,0,открытый двор,есть,есть,0,0,0,1,1,1,0,0,0,2.5,58.1,4,5,4000.0
5760211,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,2017.0,Блочные,https://ptz.etagi.com//realty/5760211/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,29.0,3,3,2350.0
3602019,1,Косметический ремонт,Есть балкон,Деревянные,Общ,1982.0,Кирпичные,https://ptz.etagi.com//realty/3602019/,Голиковка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,17.8,5,5,590.0
4522037,1,Косметический ремонт,Нет балкона,Пластиковые,Общ,1972.0,Кирпичные,https://ptz.etagi.com//realty/4522037/,Зарека,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,16.9,5,5,700.0
3684339,1,Косметический ремонт,Есть балкон,Пластиковые,Общ,1971.0,Панельные,https://ptz.etagi.com//realty/3684339/,Первомайский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,22.0,3,5,990.0
3648730,2,Косметический ремонт,Нет балкона,Пластиковые,Инд,,Панельные,https://ptz.etagi.com//realty/3648730/,Деревянка п.,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,43.6,1,5,1000.0
5600113,6,Современный ремонт,Есть балкон,Пластиковые,Инд,1999.0,Монолитные,https://ptz.etagi.com//realty/5600113/,Древлянка,1,0,0,0,0,0,открытый двор,есть,есть,1,1,1,0,0,0,0,0,0,2.55,153.6,2,16,9990.0
5757114,2,Косметический ремонт,Есть балкон,Пластиковые,Инд,1967.0,Блочные,https://ptz.etagi.com//realty/5757114/,Ключевая,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,46.6,3,5,2650.0
5745883,3,Современный ремонт,Есть балкон,Пластиковые,Инд,,Кирпичные,https://ptz.etagi.com//realty/5745883/,Кондопога,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,62.4,6,9,3200.0
5752081,2,Современный ремонт,Есть балкон,Пластиковые,Инд,1983.0,Панельные,https://ptz.etagi.com//realty/5752081/,Кукковка,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,53.0,7,9,3400.0
5739316,1,Косметический ремонт,Есть балкон,Пластиковые,Инд,,Панельные,https://ptz.etagi.com//realty/5739316/,Октябрьский,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,30.9,4,4,2270.0
5738887,2,Современный ремонт,Нет балкона,Пластиковые,Инд,,Деревянные,https://ptz.etagi.com//realty/5738887/,Соломенное,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.55,59.1,2,2,2000.0
5753155,16,Косметический ремонт,Нет балкона,Пластиковые,Общ,1969.0,Кирпичные,https://ptz.etagi.com//realty/5753155/,Зарека,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,18.0,5,5,570.0
5738616,2,Современный ремонт,Есть балкон,Пластиковые,1-335А,1965.0,Панельные,https://ptz.etagi.com//realty/5738616/,Октябрьский,0,0,1,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,42.0,4,5,3070.0
5754913,1,Косметический ремонт,Есть балкон,Пластиковые,1-335,1966.0,Панельные,https://ptz.etagi.com//realty/5754913/,Октябрьский,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,31.4,5,5,2400.0
5744797,2,Косметический ремонт,Есть балкон,Пластиковые,Хрущ,1969.0,Панельные,https://ptz.etagi.com//realty/5744797/,Кондопога,1,0,0,0,0,0,открытый двор,есть,есть,1,0,0,0,0,0,0,0,0,2.5,48.9,5,5,2250.0
